gen,id,probability_maraud,position,successful_mating
0,0,0.01,0,6
0,1,0.01,600,10
0,2,0.01,1200,9
0,3,0.01,1800,7
0,4,0.01,2400,9
0,5,0.01,3000,13
1,0,0.01,0,14
1,1,0.01,600,7
1,2,0.013825049327600177,1200,11
1,3,0.010231722771989079,1800,6
1,4,0.00714150408690731,2400,13
1,5,0.01,3000,3
2,0,0.01,0,7
2,1,0.01,600,10
2,2,0.013825049327600177,1200,7
2,3,0.010231722771989079,1800,11
2,4,0.00714150408690731,2400,15
2,5,0.012913555513387086,3000,4
3,0,0.012634851720063092,0,11
3,1,0.01,600,9
3,2,0.013825049327600177,1200,10
3,3,0.010231722771989079,1800,7
3,4,0.00714150408690731,2400,8
3,5,0.010869201906559257,3000,9
4,0,0.009596003948803316,0,11
4,1,0.010804268290238195,600,10
4,2,0.013825049327600177,1200,7
4,3,0.014640271988717932,1800,8
4,4,0.00577466496745757,2400,13
4,5,0.010869201906559257,3000,5
5,0,0.009596003948803316,0,9
5,1,0.017683202886171038,600,9
5,2,0.015456249116010252,1200,7
5,3,0.014640271988717932,1800,8
5,4,0.006038178365240921,2400,11
5,5,0.010869201906559257,3000,10
6,0,0.009596003948803316,0,7
6,1,0.017683202886171038,600,7
6,2,0.02064051853493973,1200,3
6,3,0.021030519178902553,1800,6
6,4,0.003192871704997711,2400,16
6,5,0.010869201906559257,3000,15
7,0,0.014364297789072897,0,8
7,1,0.017683202886171038,600,13
7,2,0.02064051853493973,1200,3
7,3,0.03551349544938678,1800,12
7,4,0.0030587085459354525,2400,11
7,5,0.010869201906559257,3000,7
8,0,0.014364297789072897,0,11
8,1,0.017683202886171038,600,6
8,2,0.02064051853493973,1200,6
8,3,0.010030830231312638,1800,10
8,4,0.0030587085459354525,2400,12
8,5,0.01485363593556069,3000,9
9,0,0.014364297789072897,0,10
9,1,0.02043725241460991,600,7
9,2,0.02064051853493973,1200,10
9,3,0.0070936384102600145,1800,13
9,4,0.0030587085459354525,2400,7
9,5,0.010085343892348612,3000,7
10,0,0.014364297789072897,0,12
10,1,0.02043725241460991,600,8
10,2,0.02063702639996935,1200,8
10,3,0.0070936384102600145,1800,9
10,4,0.0030587085459354525,2400,12
10,5,0.013225592783737694,3000,5
11,0,0.014997719642596429,0,7
11,1,0.02311308411205222,600,7
11,2,0.02063702639996935,1200,8
11,3,0.0070756325835374225,1800,11
11,4,0.0030587085459354525,2400,13
11,5,0.010895517982399908,3000,8
12,0,0.014997719642596429,0,6
12,1,0.025443183040033738,600,9
12,2,0.02063702639996935,1200,10
12,3,0.0027193797356575553,1800,10
12,4,0.0030587085459354525,2400,10
12,5,0.010895517982399908,3000,9
13,0,0.014997719642596429,0,8
13,1,0.016216549630596544,600,7
13,2,0.02063702639996935,1200,5
13,3,0.0027919561708221853,1800,11
13,4,0.0030587085459354525,2400,12
13,5,0.009014612632139289,3000,11
14,0,0.014997719642596429,0,10
14,1,0.019438429823290443,600,8
14,2,0.02063702639996935,1200,12
14,3,0.0027919561708221853,1800,12
14,4,0.0031681733408487644,2400,5
14,5,0.009014612632139289,3000,7
15,0,0.01640942132436415,0,12
15,1,0.019438429823290443,600,7
15,2,0.02063702639996935,1200,8
15,3,0.0031552515282437543,1800,13
15,4,0.005132551334795232,2400,7
15,5,0.009014612632139289,3000,7
16,0,0.018060442688204562,0,9
16,1,0.019438429823290443,600,6
16,2,0.04097859180653566,1200,10
16,3,0.002130163308362186,1800,10
16,4,0.005132551334795232,2400,10
16,5,0.009014612632139289,3000,9
17,0,0.018060442688204562,0,9
17,1,0.023430122282361274,600,4
17,2,0.0475777309888838,1200,11
17,3,0.002130163308362186,1800,15
17,4,0.012649697583829004,2400,9
17,5,0.009014612632139289,3000,6
18,0,0.016414549110587616,0,12
18,1,0.023430122282361274,600,12
18,2,0.030824071779708594,1200,8
18,3,0.002130163308362186,1800,7
18,4,0.010174875135358872,2400,10
18,5,0.009014612632139289,3000,5
19,0,0.016414549110587616,0,10
19,1,0.01772622477195767,600,7
19,2,0.025701634558591698,1200,5
19,3,0.002130163308362186,1800,9
19,4,0.018695977970349685,2400,15
19,5,0.009014612632139289,3000,8
20,0,0.016414549110587616,0,12
20,1,0.01772622477195767,600,8
20,2,0.03294001538914222,1200,15
20,3,0.002130163308362186,1800,7
20,4,0.0643448324742459,2400,7
20,5,0.009014612632139289,3000,5
21,0,0.009607416109554193,0,6
21,1,0.01772622477195767,600,6
21,2,0.03481399650648472,1200,14
21,3,0.0034061654591657246,1800,7
21,4,0.0643448324742459,2400,14
21,5,0.009014612632139289,3000,7
22,0,0.009607416109554193,0,7
22,1,0.019545849455003775,600,7
22,2,0.03481399650648472,1200,8
22,3,0.0031188144331038134,1800,8
22,4,0.08595834144233362,2400,15
22,5,0.005748540683526113,3000,9
23,0,0.009607416109554193,0,7
23,1,0.019545849455003775,600,8
23,2,0.028262162760781195,1200,14
23,3,0.00199163958939005,1800,6
23,4,0.08595834144233362,2400,11
23,5,0.00505405922923826,3000,8
24,0,0.009607416109554193,0,15
24,1,0.02744182492971016,600,8
24,2,0.028262162760781195,1200,7
24,3,0.00199163958939005,1800,5
24,4,0.08595834144233362,2400,15
24,5,0.005565609982300535,3000,4
25,0,0.011142367073162435,0,10
25,1,0.02744182492971016,600,12
25,2,0.01972530644256383,1200,7
25,3,0.00199163958939005,1800,5
25,4,0.08595834144233362,2400,19
25,5,0.005565609982300535,3000,1
26,0,0.011142367073162435,0,12
26,1,0.02744182492971016,600,11
26,2,0.0227351079710498,1200,12
26,3,0.00199163958939005,1800,4
26,4,0.06718558865855831,2400,9
26,5,0.005565609982300535,3000,6
27,0,0.011142367073162435,0,6
27,1,0.02744182492971016,600,10
27,2,0.0227351079710498,1200,14
27,3,0.0009958808921590571,1800,10
27,4,0.06718558865855831,2400,9
27,5,0.006453160700125423,3000,5
28,0,0.011142367073162435,0,2
28,1,0.018222195009996767,600,13
28,2,0.0227351079710498,1200,11
28,3,0.0009958808921590571,1800,7
28,4,0.06718558865855831,2400,14
28,5,0.0072496206043096475,3000,7
29,0,0.004015766656232574,0,8
29,1,0.018222195009996767,600,11
29,2,0.013086333776394968,1200,13
29,3,0.0009958808921590571,1800,12
29,4,0.06777731877767341,2400,5
29,5,0.0072496206043096475,3000,5
30,0,0.004015766656232574,0,8
30,1,0.018222195009996767,600,15
30,2,0.008465501755340013,1200,9
30,3,0.0009958808921590571,1800,7
30,4,0.03956841897860339,2400,6
30,5,0.010065888770998562,3000,9
31,0,0.004015766656232574,0,12
31,1,0.018222195009996767,600,6
31,2,0.008465501755340013,1200,10
31,3,0.001079641705116125,1800,5
31,4,0.07539014918569364,2400,11
31,5,0.010065888770998562,3000,10
32,0,0.009937647247943028,0,12
32,1,0.010999283425409638,600,10
32,2,0.008465501755340013,1200,8
32,3,0.001079641705116125,1800,5
32,4,0.07539014918569364,2400,12
32,5,0.010065888770998562,3000,7
33,0,0.009937647247943028,0,8
33,1,0.010999283425409638,600,9
33,2,0.008030821849717856,1200,13
33,3,0.0012875968726890708,1800,3
33,4,0.10151534461473799,2400,15
33,5,0.010571959181160849,3000,6
34,0,0.015317746536900231,0,14
34,1,0.010999283425409638,600,11
34,2,0.013497264181945388,1200,7
34,3,0.0006667087223150493,1800,8
34,4,0.10151534461473799,2400,7
34,5,0.010571959181160849,3000,7
35,0,0.016667268655388274,0,12
35,1,0.01886940905017307,600,6
35,2,0.013497264181945388,1200,7
35,3,0.0009041181894844111,1800,13
35,4,0.10151534461473799,2400,12
35,5,0.010571959181160849,3000,4
36,0,0.013798810229458214,0,12
36,1,0.014985066258780651,600,5
36,2,0.013124896868670554,1200,9
36,3,0.0009041181894844111,1800,9
36,4,0.10151534461473799,2400,13
36,5,0.010669499345151675,3000,6
37,0,0.013798810229458214,0,8
37,1,0.014985066258780651,600,9
37,2,0.028711599027834874,1200,10
37,3,0.0009041181894844111,1800,7
37,4,0.10151534461473799,2400,11
37,5,0.003706899170114054,3000,9
38,0,0.013642993472708073,0,8
38,1,0.012707797462271414,600,8
38,2,0.017867164322730993,1200,12
38,3,0.0009041181894844111,1800,8
38,4,0.06951974002687991,2400,5
38,5,0.003706899170114054,3000,13
39,0,0.04514071464414947,0,6
39,1,0.012707797462271414,600,9
39,2,0.017867164322730993,1200,11
39,3,0.0009041181894844111,1800,10
39,4,0.06951974002687991,2400,10
39,5,0.003706899170114054,3000,8
40,0,0.04534058482003249,0,11
40,1,0.012707797462271414,600,10
40,2,0.022109357013706223,1200,16
40,3,0.0011697738189520774,1800,8
40,4,0.06951974002687991,2400,3
40,5,0.003706899170114054,3000,6
41,0,0.03726229836892016,0,12
41,1,0.008725923367970163,600,5
41,2,0.022109357013706223,1200,11
41,3,0.0011697738189520774,1800,8
41,4,0.07144889616164327,2400,11
41,5,0.003706899170114054,3000,7
42,0,0.03248677804794537,0,12
42,1,0.008725923367970163,600,10
42,2,0.022109357013706223,1200,9
42,3,0.0009411220429458359,1800,8
42,4,0.07144889616164327,2400,9
42,5,0.005685072210686608,3000,6
43,0,0.03248677804794537,0,9
43,1,0.00878730096575646,600,8
43,2,0.018448375808362515,1200,10
43,3,0.0009411220429458359,1800,10
43,4,0.07144889616164327,2400,7
43,5,0.007568457702559158,3000,10
44,0,0.03248677804794537,0,7
44,1,0.009163839440304371,600,4
44,2,0.018448375808362515,1200,18
44,3,0.0009411220429458359,1800,4
44,4,0.05594674383701778,2400,11
44,5,0.008894263406447646,3000,10
45,0,0.03248677804794537,0,9
45,1,0.009163839440304371,600,8
45,2,0.018448375808362515,1200,11
45,3,0.0009421810519498851,1800,5
45,4,0.0531629091062034,2400,15
45,5,0.009929756020955763,3000,5
46,0,0.03248677804794537,0,13
46,1,0.009163839440304371,600,9
46,2,0.018448375808362515,1200,7
46,3,0.0009421810519498851,1800,6
46,4,0.05711503935586642,2400,15
46,5,0.0040432350980932515,3000,4
47,0,0.03248677804794537,0,7
47,1,0.010013768288331969,600,10
47,2,0.011079826756578705,1200,10
47,3,0.0009421810519498851,1800,5
47,4,0.07394693742325778,2400,13
47,5,0.0022350414855090437,3000,9
48,0,0.013739644740612037,0,14
48,1,0.010013768288331969,600,4
48,2,0.011079826756578705,1200,7
48,3,0.0009421810519498851,1800,9
48,4,0.07394693742325778,2400,10
48,5,0.0022350414855090437,3000,10
49,0,0.013739644740612037,0,9
49,1,0.010013768288331969,600,11
49,2,0.012272216997831353,1200,11
49,3,0.0009421810519498851,1800,9
49,4,0.08897560257817574,2400,11
49,5,0.0022350414855090437,3000,3
50,0,0.013739644740612037,0,9
50,1,0.013103613226847445,600,10
50,2,0.006267340585756912,1200,12
50,3,0.0009156420657703879,1800,8
50,4,0.12824385805485977,2400,9
50,5,0.0022350414855090437,3000,6
51,0,0.013739644740612037,0,7
51,1,0.010845479946300404,600,8
51,2,0.006267340585756912,1200,8
51,3,0.0026033919178696783,1800,7
51,4,0.12824385805485977,2400,11
51,5,0.0022350414855090437,3000,13
52,0,0.019412936905914238,0,11
52,1,0.01187142197469919,600,13
52,2,0.008085993862317694,1200,5
52,3,0.0026033919178696783,1800,5
52,4,0.12824385805485977,2400,13
52,5,0.0022350414855090437,3000,7
53,0,0.03066822409914575,0,9
53,1,0.015647026586184817,600,10
53,2,0.008085993862317694,1200,9
53,3,0.0026033919178696783,1800,10
53,4,0.0969872211420431,2400,7
53,5,0.0016955830243596949,3000,9
54,0,0.03066822409914575,0,12
54,1,0.006258925255925471,600,13
54,2,0.008085993862317694,1200,12
54,3,0.0026033919178696783,1800,6
54,4,0.06779923396981388,2400,8
