gen,id,probability_maraud,position,successful_mating
0,0,0.01,0,11
0,1,0.01,300,6
0,2,0.01,600,7
0,3,0.01,900,8
0,4,0.01,1200,9
0,5,0.01,1500,13
1,0,0.01,0,11
1,1,0.0050636999149184184,300,6
1,2,0.008285007006876559,600,8
1,3,0.009837594228850359,900,14
1,4,0.01,1200,8
1,5,0.01,1500,7
2,0,0.01,0,8
2,1,0.0029801986933416648,300,8
2,2,0.009863356122042064,600,8
2,3,0.009837594228850359,900,13
2,4,0.010826730840091234,1200,9
2,5,0.013142649027118865,1500,8
3,0,0.009849230968637138,0,10
3,1,0.0032822587585164664,300,8
3,2,0.010956015289349872,600,12
3,3,0.009837594228850359,900,9
3,4,0.010826730840091234,1200,7
3,5,0.009646711860912184,1500,8
4,0,0.009849230968637138,0,10
4,1,0.0031069582820243023,300,8
4,2,0.010956015289349872,600,10
4,3,0.009837594228850359,900,7
4,4,0.011877597721581422,1200,8
4,5,0.006307513913147701,1500,11
5,0,0.009849230968637138,0,7
5,1,0.0021610526913749344,300,10
5,2,0.010956015289349872,600,12
5,3,0.016630876889553815,900,6
5,4,0.009517021207963964,1200,11
5,5,0.006307513913147701,1500,8
6,0,0.0069323698523106,0,10
6,1,0.0021610526913749344,300,9
6,2,0.010956015289349872,600,14
6,3,0.015166433808720842,900,9
6,4,0.009517021207963964,1200,7
6,5,0.007362902410625631,1500,5
7,0,0.0069323698523106,0,11
7,1,0.0021610526913749344,300,5
7,2,0.010956015289349872,600,16
7,3,0.015166433808720842,900,9
7,4,0.009152649269558681,1200,7
7,5,0.009445983969096952,1500,6
8,0,0.0069323698523106,0,10
8,1,0.0032329675100909736,300,13
8,2,0.010956015289349872,600,9
8,3,0.015166433808720842,900,6
8,4,0.00797602587686877,1200,10
8,5,0.0153486268764575,1500,6
9,0,0.0069323698523106,0,10
9,1,0.0032329675100909736,300,6
9,2,0.010956015289349872,600,13
9,3,0.03189389347394092,900,11
9,4,0.00797602587686877,1200,9
9,5,0.012613693869849726,1500,5
10,0,0.0069323698523106,0,11
10,1,0.004310369340226396,300,9
10,2,0.010956015289349872,600,9
10,3,0.03189389347394092,900,6
10,4,0.00797602587686877,1200,12
10,5,0.03460373407062476,1500,7
11,0,0.0069323698523106,0,16
11,1,0.004310369340226396,300,13
11,2,0.010956015289349872,600,3
11,3,0.01705041805798382,900,6
11,4,0.00797602587686877,1200,8
11,5,0.04497646757453984,1500,8
12,0,0.0069323698523106,0,7
12,1,0.004310369340226396,300,7
12,2,0.009221572694916205,600,11
12,3,0.02681615266796596,900,8
12,4,0.007488625702609186,1200,11
12,5,0.04562809262732577,1500,10
13,0,0.003396641834223461,0,7
13,1,0.002564500051393059,300,6
13,2,0.009221572694916205,600,9
13,3,0.03159985859958401,900,8
13,4,0.007488625702609186,1200,13
13,5,0.04562809262732577,1500,11
14,0,0.004108211968636523,0,12
14,1,0.00325631504204904,300,11
