gen,id,probability_maraud,position,successful_mating
0,0,0.01,0,7
0,1,0.01,300,10
0,2,0.01,600,10
0,3,0.01,900,6
0,4,0.01,1200,11
0,5,0.01,1500,10
1,0,0.01,0,15
1,1,0.01,300,4
1,2,0.0043727047550417945,600,11
1,3,0.013172231709195209,900,8
1,4,0.01,1200,11
1,5,0.007805044930255198,1500,5
2,0,0.009545525604056285,0,12
2,1,0.004858229138607551,300,9
2,2,0.0043727047550417945,600,12
2,3,0.008169082721574267,900,6
2,4,0.01,1200,7
2,5,0.007805044930255198,1500,8
3,0,0.022540768745613806,0,7
3,1,0.005062193926552841,300,17
3,2,0.0043727047550417945,600,8
3,3,0.008169082721574267,900,11
3,4,0.01,1200,4
3,5,0.007692951707904995,1500,7
4,0,0.022193109176447543,0,8
4,1,0.00883180058637861,300,9
4,2,0.0043727047550417945,600,8
4,3,0.008169082721574267,900,14
4,4,0.01,1200,9
4,5,0.008305842002863948,1500,6
5,0,0.016903848054017487,0,12
5,1,0.009688645055760435,300,3
5,2,0.0043727047550417945,600,10
5,3,0.008169082721574267,900,9
5,4,0.01,1200,10
5,5,0.008305842002863948,1500,10
6,0,0.02872151994849919,0,9
6,1,0.009688645055760435,300,10
6,2,0.0021681353723471317,600,11
6,3,0.008169082721574267,900,11
6,4,0.01,1200,5
6,5,0.008305842002863948,1500,8
7,0,0.02872151994849919,0,8
7,1,0.009688645055760435,300,8
7,2,0.0032867111554821284,600,14
7,3,0.0031312389604629953,900,11
7,4,0.01,1200,6
7,5,0.008305842002863948,1500,7
8,0,0.02343854591466833,0,10
8,1,0.007038385082262402,300,8
8,2,0.0032867111554821284,600,5
8,3,0.0031312389604629953,900,8
8,4,0.01,1200,13
8,5,0.0036851230856332633,1500,10
9,0,0.02343854591466833,0,6
9,1,0.007038385082262402,300,6
9,2,0.00250605591666981,600,11
9,3,0.003316444407890163,900,12
9,4,0.01,1200,10
9,5,0.007743918770141345,1500,9
10,0,0.02343854591466833,0,10
10,1,0.0030768624341104946,300,5
10,2,0.00250605591666981,600,5
10,3,0.0018048825249780667,900,17
10,4,0.01,1200,9
10,5,0.007743918770141345,1500,8
11,0,0.020832113657378505,0,7
11,1,0.0030768624341104946,300,12
11,2,0.0013225672028752964,600,5
11,3,0.0018048825249780667,900,9
11,4,0.01,1200,12
11,5,0.007674844374311051,1500,9
12,0,0.018425850202680512,0,8
12,1,0.002720946671742362,300,11
12,2,0.0015101089480095916,600,13
12,3,0.0018048825249780667,900,6
12,4,0.01,1200,10
12,5,0.004345274343029272,1500,6
13,0,0.018425850202680512,0,9
13,1,0.002720946671742362,300,12
13,2,0.0015101089480095916,600,9
13,3,0.0029545823072251965,900,10
13,4,0.008654366283597822,1200,10
13,5,0.005053721805135978,1500,4
14,0,0.01276520690265953,0,11
14,1,0.0027896189119931687,300,9
14,2,0.0015101089480095916,600,5
14,3,0.002463610145058475,900,13
14,4,0.008654366283597822,1200,7
14,5,0.004778523053301827,1500,9
15,0,0.014748026821085267,0,15
15,1,0.0027896189119931687,300,7
15,2,0.0007337827280765854,600,10
15,3,0.002463610145058475,900,7
15,4,0.008654366283597822,1200,4
15,5,0.0069581432187920626,1500,11
16,0,0.014748026821085267,0,12
16,1,0.0030898814225672616,300,8
16,2,0.000623549036899321,600,6
16,3,0.0028365349333172316,900,9
16,4,0.009660711337054232,1200,10
16,5,0.0069581432187920626,1500,9
17,0,0.014748026821085267,0,6
17,1,0.0020339139884701374,300,9
17,2,0.0009343910239139677,600,8
17,3,0.002079209706895606,900,12
17,4,0.009660711337054232,1200,9
17,5,0.0069581432187920626,1500,10
18,0,0.014748026821085267,0,7
18,1,0.0018544726835505176,300,14
18,2,0.0009343910239139677,600,10
18,3,0.002079209706895606,900,7
18,4,0.002533380291253439,1200,6
18,5,0.0069581432187920626,1500,10
19,0,0.013687305400156804,0,9
19,1,0.0018544726835505176,300,10
19,2,0.0009343910239139677,600,7
19,3,0.002733468318482957,900,11
19,4,0.002533380291253439,1200,11
19,5,0.0031490130635443217,1500,6
20,0,0.019575835184419736,0,12
20,1,0.0018544726835505176,300,12
20,2,0.0009343910239139677,600,9
20,3,0.002733468318482957,900,5
20,4,0.0018050026057017732,1200,9
20,5,0.004617440966344424,1500,7
21,0,0.019575835184419736,0,4
21,1,0.0029112443673037208,300,13
21,2,0.0008442760820303212,600,10
21,3,0.002733468318482957,900,10
21,4,0.0018050026057017732,1200,8
21,5,0.004617440966344424,1500,9
22,0,0.019575835184419736,0,10
22,1,0.0029112443673037208,300,10
22,2,0.0008442760820303212,600,4
22,3,0.002215354805717347,900,8
22,4,0.0022949294963918623,1200,11
22,5,0.007627252085633922,1500,11
23,0,0.014423133232780707,0,4
23,1,0.0029112443673037208,300,9
23,2,0.0008442760820303212,600,13
23,3,0.0029199918661787284,900,11
23,4,0.0022949294963918623,1200,8
23,5,0.010379887884600512,1500,9
24,0,0.014668526629917331,0,11
24,1,0.0019332457986089581,300,4
24,2,0.0008442760820303212,600,10
24,3,0.0029199918661787284,900,12
24,4,0.0026863314042234496,1200,11
24,5,0.010379887884600512,1500,6
25,0,0.014668526629917331,0,7
25,1,0.0019477442914694418,300,15
25,2,0.0008442760820303212,600,8
25,3,0.0023865468677453073,900,9
25,4,0.0026863314042234496,1200,7
25,5,0.0130935695465765,1500,8
26,0,0.029736784246385962,0,11
26,1,0.0019477442914694418,300,9
26,2,0.0008442760820303212,600,13
26,3,0.0023865468677453073,900,8
26,4,0.0026863314042234496,1200,5
26,5,0.011342119992919257,1500,8
27,0,0.029736784246385962,0,6
27,1,0.004806441507563187,300,6
27,2,0.0008213217714905442,600,15
27,3,0.0023865468677453073,900,10
27,4,0.0026863314042234496,1200,10
27,5,0.01152524582406428,1500,7
28,0,0.014723004102427821,0,4
28,1,0.004806441507563187,300,8
28,2,0.0009489662478487416,600,8
28,3,0.003404122711020437,900,16
28,4,0.0026863314042234496,1200,6
28,5,0.01152524582406428,1500,12
29,0,0.014723004102427821,0,13
29,1,0.004806441507563187,300,8
29,2,0.0010979463255886977,600,6
29,3,0.003404122711020437,900,7
29,4,0.0026863314042234496,1200,9
29,5,0.005202025269489383,1500,11
30,0,0.014723004102427821,0,15
30,1,0.004806441507563187,300,7
30,2,0.00098296484006997,600,4
30,3,0.003404122711020437,900,8
30,4,0.004376630022803775,1200,14
30,5,0.005631632963114509,1500,6
31,0,0.014723004102427821,0,5
31,1,0.006683325249586052,300,10
31,2,0.00098296484006997,600,7
31,3,0.003230569195848164,900,15
31,4,0.004376630022803775,1200,10
31,5,0.005631632963114509,1500,7
32,0,0.014723004102427821,0,9
32,1,0.006683325249586052,300,8
32,2,0.0007512667776903707,600,9
32,3,0.00365498962088085,900,8
32,4,0.00894721496284341,1200,8
32,5,0.005409686090807912,1500,12
33,0,0.014723004102427821,0,7
33,1,0.010215266837414687,300,10
33,2,0.0007512667776903707,600,7
33,3,0.002517020149319296,900,12
33,4,0.00894721496284341,1200,11
33,5,0.005409686090807912,1500,7
34,0,0.014723004102427821,0,10
34,1,0.009054282490538298,300,9
34,2,0.0009696261709715202,600,8
34,3,0.0017877754300368374,900,7
34,4,0.00894721496284341,1200,13
34,5,0.005409686090807912,1500,7
35,0,0.009919912482853748,0,10
35,1,0.009054282490538298,300,12
35,2,0.0009696261709715202,600,4
35,3,0.0017877754300368374,900,10
35,4,0.018436997887566225,1200,7
35,5,0.004615967033700101,1500,11
36,0,0.009919912482853748,0,6
36,1,0.006208191980454359,300,14
36,2,0.0009696261709715202,600,6
36,3,0.0017877754300368374,900,4
36,4,0.026466812537859333,1200,17
36,5,0.004615967033700101,1500,7
37,0,0.00656045432727078,0,15
37,1,0.006208191980454359,300,8
37,2,0.0009696261709715202,600,9
37,3,0.0017877754300368374,900,8
37,4,0.007732162028351802,1200,7
37,5,0.004615967033700101,1500,7
38,0,0.00656045432727078,0,11
38,1,0.01934559138966532,300,8
38,2,0.0009696261709715202,600,11
38,3,0.0017877754300368374,900,2
38,4,0.007732162028351802,1200,13
38,5,0.004568457338058404,1500,9
39,0,0.008687008819967234,0,6
39,1,0.01934559138966532,300,5
39,2,0.0009696261709715202,600,7
39,3,0.0017877754300368374,900,12
39,4,0.007732162028351802,1200,13
39,5,0.0036017918279570575,1500,11
40,0,0.008687008819967234,0,12
40,1,0.0187443447676222,300,9
40,2,0.001261266286793824,600,6
40,3,0.00305703836802707,900,7
40,4,0.007732162028351802,1200,11
40,5,0.0036017918279570575,1500,9
41,0,0.009496831329482472,0,9
41,1,0.018573702855222262,300,4
41,2,0.001261266286793824,600,13
41,3,0.00305703836802707,900,9
41,4,0.007732162028351802,1200,8
41,5,0.006447002536525584,1500,11
42,0,0.009496831329482472,0,11
42,1,0.016425229343425406,300,11
42,2,0.001261266286793824,600,9
42,3,0.0020182485553040305,900,8
42,4,0.008816525925114133,1200,5
42,5,0.006447002536525584,1500,10
43,0,0.0101258533929532,0,13
43,1,0.016425229343425406,300,10
43,2,0.001261266286793824,600,6
43,3,0.0031654455449175245,900,9
43,4,0.008816525925114133,1200,8
43,5,0.006447002536525584,1500,8
44,0,0.00910029481900302,0,9
44,1,0.016425229343425406,300,7
44,2,0.001261266286793824,600,8
44,3,0.0031654455449175245,900,7
44,4,0.014452762087211522,1200,12
44,5,0.004832785768545656,1500,11
45,0,0.00910029481900302,0,4
45,1,0.016425229343425406,300,11
45,2,0.0006468494804807523,600,8
45,3,0.002078418916726473,900,8
45,4,0.009317206338712207,1200,11
45,5,0.004832785768545656,1500,12
46,0,0.00910029481900302,0,8
46,1,0.016425229343425406,300,12
46,2,0.0006468494804807523,600,8
46,3,0.002034617122209531,900,6
46,4,0.011055011506483277,1200,7
46,5,0.004316706532808278,1500,13
47,0,0.007542694668113983,0,10
47,1,0.016425229343425406,300,11
47,2,0.0006389782901008991,600,10
47,3,0.002034617122209531,900,7
47,4,0.016235833807377455,1200,7
47,5,0.005945513619661504,1500,9
48,0,0.009349560197660407,0,9
48,1,0.016425229343425406,300,10
48,2,0.0005735846294649006,600,8
48,3,0.002034617122209531,900,9
48,4,0.016235833807377455,1200,11
48,5,0.0074111944840632195,1500,7
49,0,0.00978502323134381,0,11
49,1,0.014668664631268537,300,8
49,2,0.0005735846294649006,600,5
49,3,0.0023386713453766033,900,6
49,4,0.016235833807377455,1200,9
49,5,0.0074111944840632195,1500,15
50,0,0.00978502323134381,0,8
50,1,0.014668664631268537,300,11
50,2,0.0005209977384720803,600,8
50,3,0.0023386713453766033,900,5
50,4,0.015605646639741013,1200,11
50,5,0.0074111944840632195,1500,11
51,0,0.005619258294509077,0,4
51,1,0.014668664631268537,300,15
51,2,0.0007975698284355598,600,4
51,3,0.0023076103204040864,900,11
51,4,0.015605646639741013,1200,10
51,5,0.006863425439952772,1500,10
52,0,0.005619258294509077,0,6
52,1,0.02211658967174186,300,8
52,2,0.0008568913168757681,600,7
52,3,0.0023076103204040864,900,7
52,4,0.01389314585946318,1200,14
52,5,0.008543163021084505,1500,12
53,0,0.007269298439171743,0,7
53,1,0.02211658967174186,300,11
53,2,0.0008568913168757681,600,6
53,3,0.002273978839233807,900,6
53,4,0.02140680518783713,1200,13
53,5,0.008543163021084505,1500,11
54,0,0.007269298439171743,0,9
54,1,0.008386592493464464,300,6
54,2,0.0006675720915036088,600,8
54,3,0.002273978839233807,900,8
54,4,0.02140680518783713,1200,11
54,5,0.008750715514265555,1500,12
55,0,0.007269298439171743,0,8
55,1,0.008386592493464464,300,9
55,2,0.0006675720915036088,600,10
55,3,0.002273978839233807,900,10
55,4,0.024577625656109235,1200,8
55,5,0.014146501567348962,1500,9
56,0,0.008726629315822824,0,10
56,1,0.008386592493464464,300,11
56,2,0.0005335223442899883,600,9
56,3,0.0029889343700891706,900,9
56,4,0.02937126291192117,1200,8
56,5,0.014146501567348962,1500,7
57,0,0.008726629315822824,0,9
57,1,0.006070132382370968,300,12
57,2,0.0005477144050116844,600,5
57,3,0.0029889343700891706,900,9
57,4,0.02937126291192117,1200,12
57,5,0.023392444185606587,1500,7
58,0,0.013685283913746698,0,12
58,1,0.006070132382370968,300,6
58,2,0.0005477144050116844,600,12
58,3,0.0029889343700891706,900,11
58,4,0.02937126291192117,1200,7
58,5,0.014684301905574904,1500,6
59,0,0.013685283913746698,0,9
59,1,0.0050171370783999025,300,10
59,2,0.0005477144050116844,600,9
59,3,0.003207750278843241,900,12
59,4,0.043986742985257316,1200,7
59,5,0.012335645986795003,1500,7
60,0,0.016786893601389654,0,10
60,1,0.0028219026484507005,300,11
60,2,0.0005477144050116844,600,10
60,3,0.003207750278843241,900,9
60,4,0.043986742985257316,1200,7
60,5,0.015741638350249863,1500,7
61,0,0.016786893601389654,0,6
61,1,0.003688776187434491,300,10
61,2,0.0005477144050116844,600,8
61,3,0.003728505344974585,900,13
61,4,0.038738819029431645,1200,11
61,5,0.016462450329408414,1500,6
62,0,0.016786893601389654,0,8
62,1,0.004847182224097828,300,11
62,2,0.0005477144050116844,600,9
62,3,0.003728505344974585,900,12
62,4,0.035591750590109085,1200,8
62,5,0.016462450329408414,1500,6
63,0,0.016786893601389654,0,7
63,1,0.004847182224097828,300,12
63,2,0.0005477144050116844,600,12
63,3,0.004526695366627311,900,12
63,4,0.028594906959231645,1200,4
63,5,0.016462450329408414,1500,7
