gen,id,probability_maraud,position,successful_mating
0,0,0.01,0,10
0,1,0.01,600,12
0,2,0.01,1200,8
0,3,0.01,1800,10
0,4,0.01,2400,8
0,5,0.01,3000,6
1,0,0.01,0,10
1,1,0.01,600,7
1,2,0.01094538648940482,1200,13
1,3,0.01,1800,9
1,4,0.007039421766222051,2400,5
1,5,0.008860703321464528,3000,10
2,0,0.01,0,9
2,1,0.01723323292368744,600,8
2,2,0.01094538648940482,1200,6
2,3,0.01,1800,13
2,4,0.0035336298957188133,2400,13
2,5,0.008860703321464528,3000,5
3,0,0.01,0,11
3,1,0.02049438882440043,600,5
3,2,0.01580256612246286,1200,7
3,3,0.01,1800,9
3,4,0.0035336298957188133,2400,12
3,5,0.005115338606968804,3000,10
4,0,0.01,0,9
4,1,0.011627963642465515,600,9
4,2,0.018068318537887033,1200,8
4,3,0.01,1800,9
4,4,0.0035336298957188133,2400,12
4,5,0.005115338606968804,3000,7
5,0,0.01,0,7
5,1,0.011627963642465515,600,11
5,2,0.021124522916345274,1200,11
5,3,0.01,1800,7
5,4,0.0035336298957188133,2400,14
5,5,0.007501670549779927,3000,4
6,0,0.007672647730458246,0,7
6,1,0.011627963642465515,600,8
6,2,0.021124522916345274,1200,9
6,3,0.013229875614933849,1800,8
6,4,0.0035336298957188133,2400,8
6,5,0.006328602523312042,3000,14
7,0,0.008992645527657122,0,9
7,1,0.013456849084197278,600,5
7,2,0.021124522916345274,1200,6
7,3,0.01267849539632019,1800,14
7,4,0.003982607550166886,2400,6
7,5,0.006328602523312042,3000,14
8,0,0.008992645527657122,0,8
8,1,0.007820164026521439,600,8
8,2,0.02241934259421314,1200,9
8,3,0.01267849539632019,1800,16
8,4,0.004905076573484727,2400,11
8,5,0.006328602523312042,3000,2
9,0,0.007640731958926888,0,11
9,1,0.007371239453197508,600,4
9,2,0.02241934259421314,1200,9
9,3,0.01267849539632019,1800,11
9,4,0.004905076573484727,2400,12
9,5,0.01899270643037636,3000,7
10,0,0.007640731958926888,0,8
10,1,0.011600825564909531,600,9
10,2,0.02241934259421314,1200,6
10,3,0.01267849539632019,1800,11
10,4,0.004905076573484727,2400,8
10,5,0.01958877180434396,3000,12
11,0,0.0076017968659747,0,8
11,1,0.011600825564909531,600,7
11,2,0.05249582635757154,1200,12
11,3,0.01267849539632019,1800,10
11,4,0.006571745884359166,2400,10
11,5,0.01958877180434396,3000,7
12,0,0.007594698546957809,0,5
12,1,0.02121233124457978,600,7
12,2,0.05249582635757154,1200,7
12,3,0.01267849539632019,1800,14
12,4,0.006571745884359166,2400,9
12,5,0.01367824628799674,3000,12
13,0,0.008635472914481638,0,10
13,1,0.026577189793707642,600,8
13,2,0.037850136972824404,1200,13
13,3,0.01267849539632019,1800,12
13,4,0.006571745884359166,2400,7
13,5,0.01367824628799674,3000,4
14,0,0.008635472914481638,0,13
14,1,0.022735108383138854,600,6
14,2,0.037850136972824404,1200,9
14,3,0.01267849539632019,1800,10
14,4,0.007844129529703918,2400,6
14,5,0.01382307920341223,3000,10
15,0,0.008635472914481638,0,9
15,1,0.024014886537524253,600,10
15,2,0.037850136972824404,1200,9
15,3,0.01267849539632019,1800,9
15,4,0.008825852650569694,2400,11
15,5,0.01382307920341223,3000,6
16,0,0.008635472914481638,0,6
16,1,0.024014886537524253,600,11
16,2,0.037850136972824404,1200,6
16,3,0.01267849539632019,1800,11
16,4,0.008825852650569694,2400,10
16,5,0.049442973639365194,3000,10
17,0,0.013543205780137086,0,11
17,1,0.024014886537524253,600,11
17,2,0.016991287070559333,1200,9
17,3,0.01267849539632019,1800,12
17,4,0.008825852650569694,2400,5
17,5,0.049442973639365194,3000,6
18,0,0.013543205780137086,0,7
18,1,0.024014886537524253,600,9
18,2,0.016991287070559333,1200,13
18,3,0.01267849539632019,1800,9
18,4,0.02490819274301407,2400,7
18,5,0.034506731048860054,3000,9
19,0,0.014249175246652777,0,12
19,1,0.024014886537524253,600,7
19,2,0.016991287070559333,1200,11
19,3,0.01267849539632019,1800,5
19,4,0.0378446580134977,2400,11
19,5,0.034506731048860054,3000,8
