gen,id,probability_maraud,position,successful_mating
0,0,0.01,0,7
0,1,0.01,600,6
0,2,0.01,1200,11
0,3,0.01,1800,10
0,4,0.01,2400,11
0,5,0.01,3000,9
1,0,0.004725555162624662,0,9
1,1,0.003919529006868295,600,8
1,2,0.01,1200,9
1,3,0.01,1800,11
1,4,0.01,2400,7
1,5,0.01,3000,10
2,0,0.0031011408552399345,0,8
2,1,0.003919529006868295,600,10
2,2,0.005207280956127094,1200,9
2,3,0.01,1800,11
2,4,0.01,2400,11
2,5,0.01,3000,5
3,0,0.0031011408552399345,0,5
3,1,0.004046470043170236,600,13
3,2,0.005207280956127094,1200,6
3,3,0.01,1800,8
3,4,0.01,2400,10
3,5,0.01,3000,12
4,0,0.002123022027360805,0,10
4,1,0.0054693759935233,600,5
4,2,0.0035973803091840033,1200,13
4,3,0.01,1800,7
4,4,0.01,2400,9
4,5,0.01,3000,10
5,0,0.002123022027360805,0,5
5,1,0.0054020972457270175,600,12
5,2,0.0035973803091840033,1200,4
5,3,0.01,1800,13
5,4,0.003893920929517232,2400,10
5,5,0.01,3000,10
6,0,0.002123022027360805,0,9
6,1,0.0054020972457270175,600,10
6,2,0.0018460563551841505,1200,4
6,3,0.01,1800,9
6,4,0.003183355416821277,2400,12
6,5,0.01,3000,10
7,0,0.002123022027360805,0,4
7,1,0.005453485212519964,600,8
7,2,0.0018460563551841505,1200,13
7,3,0.007491685396372322,1800,9
7,4,0.003183355416821277,2400,8
7,5,0.01,3000,12
8,0,0.0022247180229336893,0,4
8,1,0.005453485212519964,600,14
8,2,0.0018460563551841505,1200,11
8,3,0.01032679542557196,1800,8
8,4,0.003183355416821277,2400,8
8,5,0.01,3000,9
9,0,0.0022247180229336893,0,6
9,1,0.0032617369246036093,600,5
9,2,0.0018460563551841505,1200,16
9,3,0.009264083334320921,1800,10
9,4,0.003183355416821277,2400,6
9,5,0.010279394663903901,3000,11
10,0,0.0022247180229336893,0,8
10,1,0.0032617369246036093,600,9
10,2,0.0018460563551841505,1200,7
10,3,0.006414611770856494,1800,11
10,4,0.002691006141393542,2400,8
10,5,0.010279394663903901,3000,11
11,0,0.001058714048748223,0,6
11,1,0.0032617369246036093,600,12
11,2,0.0018460563551841505,1200,13
11,3,0.005783312547885983,1800,5
11,4,0.002691006141393542,2400,5
11,5,0.012119985795420543,3000,13
12,0,0.001058714048748223,0,7
12,1,0.0032617369246036093,600,9
12,2,0.0015252153357866666,1200,6
12,3,0.005606600383224174,1800,13
12,4,0.002691006141393542,2400,9
12,5,0.01458065287406391,3000,10
13,0,0.0008998178816906948,0,7
13,1,0.0032617369246036093,600,7
13,2,0.0015252153357866666,1200,9
13,3,0.00303953748579075,1800,13
13,4,0.002691006141393542,2400,4
13,5,0.016886782846581013,3000,14
14,0,0.00046313146273027454,0,14
14,1,0.0032617369246036093,600,5
14,2,0.0015252153357866666,1200,7
14,3,0.002205341138702044,1800,10
14,4,0.002691006141393542,2400,11
14,5,0.016886782846581013,3000,7
15,0,0.00046313146273027454,0,9
15,1,0.005734281894646873,600,7
15,2,0.0014099833973500115,1200,17
15,3,0.003052163108348569,1800,6
15,4,0.0021952887709557356,2400,6
15,5,0.016886782846581013,3000,9
16,0,0.0005580300959979231,0,14
16,1,0.003864762010636411,600,6
16,2,0.0014099833973500115,1200,10
16,3,0.003052163108348569,1800,8
16,4,0.0021952887709557356,2400,3
16,5,0.013754142683206695,3000,13
17,0,0.0005095714930543575,0,11
17,1,0.002864137755072871,600,13
17,2,0.0014099833973500115,1200,12
17,3,0.003052163108348569,1800,9
17,4,0.0021952887709557356,2400,5
17,5,0.013754142683206695,3000,4
18,0,0.0004906522051240713,0,7
18,1,0.002864137755072871,600,8
18,2,0.0014099833973500115,1200,9
18,3,0.003052163108348569,1800,11
18,4,0.002626613606982218,2400,9
18,5,0.01120594071889838,3000,10
19,0,0.0004906522051240713,0,8
19,1,0.0027204804461229957,600,9
19,2,0.0018584851596502461,1200,12
19,3,0.0026714455697123395,1800,6
19,4,0.003663251285118551,2400,10
19,5,0.01120594071889838,3000,9
20,0,0.0004906522051240713,0,9
20,1,0.0027204804461229957,600,11
20,2,0.0018584851596502461,1200,11
20,3,0.0015054963801922493,1800,6
20,4,0.0027032465095492976,2400,10
20,5,0.01131519219573372,3000,7
21,0,0.0004906522051240713,0,8
21,1,0.0030189022594543026,600,11
21,2,0.0018584851596502461,1200,6
21,3,0.0015054963801922493,1800,8
21,4,0.0032848181899889427,2400,11
21,5,0.00593659298968622,3000,10
22,0,0.0004906522051240713,0,13
22,1,0.002376773569621731,600,7
22,2,0.0018584851596502461,1200,11
22,3,0.0015054963801922493,1800,6
22,4,0.0017051203726089772,2400,10
22,5,0.00637563480319899,3000,7
23,0,0.0004906522051240713,0,8
23,1,0.002376773569621731,600,9
23,2,0.0018584851596502461,1200,9
23,3,0.0015054963801922493,1800,5
23,4,0.0012919063997128507,2400,9
23,5,0.004352285305080745,3000,14
24,0,0.0016665983848971335,0,9
24,1,0.002376773569621731,600,8
24,2,0.0018584851596502461,1200,10
24,3,0.0018565909486134404,1800,5
24,4,0.0012919063997128507,2400,8
24,5,0.004352285305080745,3000,14
25,0,0.0007073457005549053,0,11
25,1,0.002376773569621731,600,7
25,2,0.0018584851596502461,1200,10
25,3,0.0020543003612779457,1800,10
25,4,0.0012919063997128507,2400,7
25,5,0.005727522681215539,3000,9
26,0,0.0006357257252311636,0,10
26,1,0.002376773569621731,600,12
26,2,0.006506029960865227,1200,9
26,3,0.0025533637377839627,1800,5
26,4,0.0012919063997128507,2400,6
26,5,0.005727522681215539,3000,12
27,0,0.0007319730202258591,0,6
27,1,0.002046311918909294,600,14
27,2,0.0033607925301546962,1200,7
27,3,0.0025533637377839627,1800,8
27,4,0.0012919063997128507,2400,14
27,5,0.007430980469719877,3000,5
28,0,0.0005814627961779423,0,15
28,1,0.002046311918909294,600,5
28,2,0.0012925246164457026,1200,11
28,3,0.0025533637377839627,1800,8
28,4,0.0012919063997128507,2400,7
28,5,0.007430980469719877,3000,8
29,0,0.0005814627961779423,0,7
29,1,0.002046311918909294,600,7
29,2,0.002795101020947084,1200,3
29,3,0.002561981696759033,1800,13
29,4,0.0012919063997128507,2400,10
29,5,0.009088937074277843,3000,14
30,0,0.0004389106757859826,0,12
30,1,0.0016037971496805832,600,9
30,2,0.002795101020947084,1200,11
30,3,0.002561981696759033,1800,11
30,4,0.001652318736728109,2400,4
30,5,0.009088937074277843,3000,7
31,0,0.0004389106757859826,0,5
31,1,0.002651681875798858,600,9
31,2,0.002795101020947084,1200,11
31,3,0.0015711750871440725,1800,9
31,4,0.001652318736728109,2400,5
31,5,0.009088937074277843,3000,15
32,0,0.0004389106757859826,0,12
32,1,0.002367752662216659,600,5
32,2,0.00308148451839282,1200,7
32,3,0.0015711750871440725,1800,11
32,4,0.001652318736728109,2400,7
32,5,0.009088937074277843,3000,12
33,0,0.00032020073200234435,0,8
33,1,0.002367752662216659,600,14
33,2,0.00308148451839282,1200,7
33,3,0.0015711750871440725,1800,7
33,4,0.0004644912083881747,2400,5
33,5,0.009088937074277843,3000,13
34,0,0.0004045384287747965,0,6
34,1,0.0019731141995142087,600,11
34,2,0.00308148451839282,1200,12
34,3,0.0014130989997220371,1800,8
34,4,0.0004644912083881747,2400,5
34,5,0.007050027605919178,3000,12
35,0,0.0004049005534577599,0,11
35,1,0.0042037616480963364,600,9
35,2,0.00308148451839282,1200,12
35,3,0.0014130989997220371,1800,7
35,4,0.0004644912083881747,2400,8
35,5,0.008399690276441744,3000,7
36,0,0.0004049005534577599,0,10
36,1,0.0042037616480963364,600,8
36,2,0.0012890123561296548,1200,7
36,3,0.0014130989997220371,1800,8
36,4,0.0004644912083881747,2400,14
36,5,0.008865628131761942,3000,7
37,0,0.0007092211221506534,0,7
37,1,0.0042037616480963364,600,13
37,2,0.0022611787697474944,1200,13
37,3,0.0014130989997220371,1800,9
37,4,0.000824582793728782,2400,7
37,5,0.010710131689808645,3000,5
38,0,0.0010097551189824734,0,5
38,1,0.0042037616480963364,600,9
38,2,0.0022611787697474944,1200,14
38,3,0.0008981020228129186,1800,9
38,4,0.000824582793728782,2400,9
38,5,0.010710131689808645,3000,8
39,0,0.0010097551189824734,0,5
39,1,0.00399802044357754,600,10
39,2,0.0022611787697474944,1200,6
39,3,0.0007644515351538583,1800,11
39,4,0.000824582793728782,2400,7
39,5,0.010710131689808645,3000,15
40,0,0.0011795877330491983,0,4
40,1,0.00399802044357754,600,11
40,2,0.0022611787697474944,1200,13
40,3,0.0007644515351538583,1800,8
40,4,0.0009571196540600371,2400,10
40,5,0.0060465581057284595,3000,8
41,0,0.0004096472277899243,0,7
41,1,0.00399802044357754,600,7
41,2,0.0018468707130743548,1200,6
41,3,0.0007644515351538583,1800,17
41,4,0.0009571196540600371,2400,9
41,5,0.0060465581057284595,3000,8
42,0,0.000539031083735319,0,8
42,1,0.004665784114299808,600,9
42,2,0.0018468707130743548,1200,10
42,3,0.000951200783285489,1800,9
42,4,0.000756220390588908,2400,8
42,5,0.006648900244415462,3000,10
43,0,0.000539031083735319,0,6
43,1,0.004665784114299808,600,10
43,2,0.0033436631435437027,1200,9
43,3,0.0014461140145257444,1800,7
43,4,0.000756220390588908,2400,11
43,5,0.006648900244415462,3000,11
44,0,0.000539031083735319,0,7
44,1,0.004665784114299808,600,7
